일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2010/12/30",15.70,12.00,14.10,12.80
"2010/12/29",14.10,13.90,14.10,12.90
"2010/12/28",15.80,13.70,15.20,12.90
"2010/12/27",16.70,16.60,16.70,13.00
"2010/12/24",15.50,17.20,16.00,13.00
"2010/12/23",15.40,16.80,15.70,12.90
"2010/12/22",15.10,16.90,15.50,13.00
"2010/12/21",15.40,16.20,15.50,13.10
"2010/12/20",15.00,17.50,15.30,13.70
"2010/12/17",13.60,15.70,13.80,13.90
"2010/12/16",14.50,15.20,14.70,13.80
"2010/12/15",13.90,15.40,14.20,13.80
"2010/12/14",14.50,15.00,14.60,13.80
"2010/12/13",15.90,15.50,15.80,13.80
"2010/12/10",17.10,14.90,16.50,13.80
"2010/12/09",16.00,17.50,16.20,13.80
"2010/12/08",15.60,18.50,17.30,13.60
"2010/12/07",16.70,17.50,17.00,13.70
"2010/12/06",18.30,19.20,18.70,13.70
"2010/12/03",14.00,15.50,14.60,13.70
"2010/12/02",15.70,18.30,16.40,13.70
"2010/12/01",20.40,22.80,20.90,13.50
"2010/11/30",23.00,24.50,23.60,13.60
"2010/11/29",22.00,25.40,23.70,13.70
"2010/11/26",20.80,22.80,22.10,13.70
"2010/11/25",17.20,20.30,18.30,13.50
"2010/11/24",16.80,21.40,17.70,13.60
"2010/11/23",14.40,22.30,18.40,13.70
"2010/11/22",15.10,18.70,16.50,13.60
"2010/11/19",15.80,18.60,16.60,13.80
"2010/11/18",17.40,19.10,17.80,13.70
"2010/11/17",17.80,21.40,19.10,13.50
"2010/11/16",17.70,21.70,19.80,13.80
"2010/11/15",17.70,21.10,19.30,13.90
"2010/11/12",19.30,20.10,19.90,14.00
"2010/11/11",29.40,10.20,11.70,14.00
"2010/11/10",12.70,16.60,14.10,13.00
"2010/11/09",15.30,17.00,16.00,13.00
"2010/11/08",15.30,18.40,16.80,13.10
"2010/11/05",13.10,17.40,15.50,13.20
"2010/11/04",11.90,18.10,14.30,13.40
"2010/11/03",14.60,18.90,16.10,13.40
"2010/11/02",13.20,20.00,15.10,13.40
"2010/11/01",15.80,18.50,16.20,13.50
